'ad		1. (pron) Connacht form of agat	alt-of connacht
tóraí		1. (noun) pursuer, seeker, hunter<br />2. (noun) bandit, robber, outlaw<br />3. (noun) Tory	historical masculine topic-politics
tóraíocht		1. (noun) chase, manhunt<br />2. (noun) pursuit<br />3. (noun) quest	feminine
tórramh		1. (noun) wake (period after death)<br />2. (noun) funeral	masculine
tú		1. (pron) you (singular), thou	conjunctive
túathannach		1. (noun) obsolete spelling of tuathánach	alt-of masculine obsolete
túcán		1. (noun) toucan<br />2. (noun) duck	masculine topic-textiles
túir		1. (noun) inflection of túr:<br />2. (noun) vocative/genitive singular<br />3. (noun) nominative/dative plural	dative form-of nominative plural
túis		1. (noun) incense<br />2. (noun) inflection of tús:<br />3. (noun) vocative/genitive singular<br />4. (noun) nominative/dative plural	dative feminine form-of nominative plural
túisce		1. (adj) sooner, rather<br />2. (adj) first<br />3. (adv) sooner, rather<br />4. (adv) first	
túr		1. (noun) tower<br />2. (noun) alternative form of tuar (“sign, omen”)<br />3. (noun) alternative form of tuar (“dung, manure”)<br />4. (noun) alternative form of súr (“(act of) searching for, seeking”)	alt-of alternative masculine
tús		1. (noun) beginning, commencement, start<br />EXAMPLE: Tús maith leath na hoibre.: Well begun is half done.<br />2. (noun) opening (something that is a beginning)	masculine
túsaigh		1. (verb) to start, begin, initialize	ulster
túslitir		1. (noun) an initial, the first letter of a word	feminine topic-typography
túsphointe		1. (noun) starting point	also figuratively masculine
túsú		1. (noun) verbal noun of túsaigh	form-of masculine noun-from-verb ulster
tútach		1. (adj) uncouth, crude, boorish, ungracious, rustic, gross<br />2. (adj) clumsy, awkward<br />3. (adj) mean, mean-spirited, churlish, ignoble<br />4. (adj) rude, crude, primitive, coarse<br />5. (adj) amateurish	
u		1. (character) The eighteenth letter of the Irish alphabet, written in the Latin script.	letter lowercase
ua		1. (noun) archaic form of ó (“grandson, grandchild; descendant”)	alt-of archaic masculine
uabhair		1. (noun) vocative/genitive singular of uabhar	masculine singular
uabhar		1. (noun) pride, arrogance<br />2. (noun) wounded pride<br />3. (noun) spiritedness, exuberance<br />4. (noun) frolicking; frolicksomeness<br />5. (noun) rankness, luxuriance<br />6. (noun) eeriness, feeling of loneliness<br />7. (noun) open-mouthedness, astonishment	masculine
uachais		1. (noun) lair, den (of an animal)<br />2. (noun) burrow (tunnel or hole)	feminine
uacht		1. (noun) will, testament<br />2. (noun) pledge	feminine topic-law
uachta		1. (noun) genitive singular of uacht	form-of genitive singular
uachtair		1. (noun) inflection of uachtar:<br />2. (noun) vocative/genitive singular<br />3. (noun) nominative/dative plural	dative form-of masculine nominative plural
uachtar		1. (noun) top, upper part<br />2. (noun) surface (of the water, from the point of view of someone or something underwater)<br />3. (noun) cream (milk)<br />4. (noun) ascendant<br />5. (noun) upper (part of a shoe above the sole)	masculine topic-astrology topic-shoemaking
uachtar coipthe		1. (noun) whipped cream	masculine topic-dairy-products
uachtar dúbailte		1. (noun) double cream	masculine topic-dairy-products
uachtar reoite		1. (noun) ice cream	masculine topic-dairy-products topic-desserts
uachtarlann		1. (noun) dairy<br />2. (noun) creamery	feminine
uachtarán		1. (noun) president; head, superior<br />2. (noun) headmaster (school, academic)<br />3. (noun) landowner	archaic masculine
uadh		1. (pron) Ulster form of uaidh	alt-of ulster
uafás		1. (noun) horror, terror<br />2. (noun) astonishment, cause of astonishment<br />3. (noun) vast or astonishing number or amount	masculine
uafásach		1. (adj) horrible, terrible, dreadful<br />2. (adj) vast, astonishing	
uaibh		1. (pron) second-person plural of ó	form-of plural second-person
uaibhreach		1. (adj) proud, arrogant<br />2. (adj) haughty<br />3. (adj) rank (strong in growth), luxuriant<br />4. (adj) eerie (weird)<br />5. (adj) rampant (unrestrained)<br />6. (adj) spirited (of a horse)	
uaibhse		1. (pron) second-person plural emphatic of ó	emphatic form-of plural second-person
uaidh		1. (pron) third-person singular masculine of ó	form-of masculine singular third-person
uaidh seo amach		1. (adv) henceforth, from now on	
uaidhsean		1. (pron) third-person singular masculine emphatic of ó	emphatic form-of masculine singular third-person
uaiféalta		1. (adj) awful	
uaigh		1. (noun) grave (excavation for burial)	feminine topic-burial
uaighe		1. (noun) genitive singular of uaigh	feminine form-of genitive singular
uaigheanna		1. (noun) plural of uaigh	feminine form-of plural
uaigneach		1. (adj) lonely	
uaigneas		1. (noun) loneliness (condition of being lonely)	masculine
uaignigh		1. (adj) inflection of uaigneach:<br />2. (adj) vocative/genitive singular masculine<br />3. (adj) dative singular feminine	archaic dative feminine form-of singular
uaill		1. (noun) vanity, pride<br />2. (noun) wail; howl, yell<br />3. (noun) lightheaded, scatterbrained, person; vain person	feminine uncountable
uaille		1. (noun) genitive singular of uaill	feminine form-of genitive singular
uailleacha		1. (noun) plural of uaill	feminine form-of plural
uaim		1. (pron) first-person singular of ó	first-person form-of singular
uaimh		1. (noun) cave<br />2. (noun) den<br />3. (noun) pit<br />4. (noun) crypt	feminine
uaimse		1. (pron) first-person singular emphatic of ó	emphatic first-person form-of singular
uain		1. (noun) opportune time, free time<br />2. (noun) occasion; opportunity<br />3. (noun) interval of time; space, respite<br />4. (noun) turn, spell<br />5. (noun) weather, season<br />6. (noun) inflection of uan:<br />7. (noun) vocative/genitive singular<br />8. (noun) nominative/dative plural	dative feminine form-of nominative plural
uainchlár		1. (noun) roster, rota	masculine
uaine		1. (adj) green (of painted or dyed items; of bright or light-coloured items)<br />2. (noun) genitive singular of uain	form-of genitive singular
uaineacha		1. (noun) plural of uain (“opportune time, free time; occasion; opportunity; interval of time; space, respite; turn, spell; weather, season”)<br />2. (noun) plural of uain (“wave”)	feminine form-of plural
uainn		1. (pron) first-person plural of ó	first-person form-of plural
uainne		1. (pron) first-person plural emphatic of ó	emphatic first-person form-of plural
uainín		1. (noun) diminutive of uan (“lamb”): little lamb, lambkin, baa-lamb	diminutive form-of masculine topic-baby-animals topic-sheep
uair		1. (noun) hour<br />2. (noun) time (instance or occurrence)	feminine
uair an chloig		1. (noun) hour	feminine topic-time
uaire		1. (noun) genitive singular of uair<br />2. (noun) count plural of uair<br />EXAMPLE: trí huaire: three hours; three times, thrice<br />EXAMPLE: seacht n-uaire: seven hours; seven times	feminine form-of genitive singular
uaireadóir		1. (noun) watch (portable or wearable timepiece)	masculine topic-clocks topic-jewelry
uaireanna		1. (noun) plural of uair	form-of plural
uaireannta		1. (noun) dated spelling of uaireanta<br />2. (adv) dated spelling of uaireanta	
uaireanta		1. (noun) plural of uair<br />2. (adv) sometimes	feminine form-of plural
uaisle		1. (noun) nobility (persons of rank; quality of nobility)<br />EXAMPLE: Eochair uaisle éadach.: Fine feathers make fine birds.<br />2. (noun) favour, bounty<br />3. (adj) inflection of uasal:<br />4. (adj) feminine genitive singular<br />5. (adj) nominative/vocative/dative/strong genitive plural<br />6. (adj) comparative degree<br />7. (noun) plural of uasal	comparative dative feminine form-of genitive literary masculine nominative plural singular strong vocative
uaisleachd		1. (noun) obsolete spelling of uaisleacht	alt-of feminine obsolete
uaisleacht		1. (noun) nobility (quality of being noble)<br />2. (noun) gentility (state of being elegant)	feminine
uait		1. (pron) second-person singular of ó	form-of second-person singular
uaithe		1. (pron) superseded spelling of uaithi (“from her”)	alt-of archaic
uaithi		1. (pron) third-person singular feminine of ó	feminine form-of singular third-person
uaithise		1. (pron) third-person singular feminine emphatic of ó	emphatic feminine form-of singular third-person
uaitse		1. (pron) second-person singular emphatic of ó	emphatic form-of second-person singular
ualach		1. (noun) a burden, load<br />EXAMPLE: Is ar na bochtáin, go háirithe i dtíortha ina bhfuil daoine ar ioncam íseal, atá an t-ualach is mó maidir le breoiteacht agus le drochshláinte, agus is acusan atá an rochtain is lú ar sheirbhísí cúraim shláinte agus is lú atá in ann déileáil le tionchar an tinnis agus teacht as.: The poor, and especially those in low-income countries, bear the highest burden of sickness and ill health, have the least access to health care services, and are least equipped to cope with and recover from the impact of illness. (original from which above was translated)	masculine
ualaigh		1. (noun) vocative/genitive singular of ualach	masculine singular
ualaighe		1. (noun) obsolete spelling of ualaí, plural of ualach (“load, burden”)	alt-of obsolete
ualaighibh		1. (noun) dative plural of ualach	archaic dative form-of plural
ualaí		1. (noun) plural of ualach	form-of masculine plural
uallach		1. (adj) wailing; yelling, howling<br />2. (adj) giddy, light-headed, scatter-brained<br />3. (adj) skittish, excitable<br />4. (adj) vain, arrogant, proud	
uallacht		1. (noun) synonym of uallachas (“giddiness, light-headedness; skittishness, excitement; vanity, vainglory, pride”)	feminine
uallaíocht		1. (noun) synonym of uallachas (“giddiness, light-headedness; skittishness, excitement; vanity, vainglory, pride”)	feminine
uam		1. (pron) Ulster form of uaim	alt-of ulster
uamh		1. (noun) alternative form of uaimh (“cave”)	alt-of alternative feminine
uamhacha		1. (noun) plural of uaimh (“cave”)	form-of plural ulster
uamhan		1. (noun) fear; dread; (religion) awe<br />2. (noun) object of dread, terror	masculine topic-religion
uamhan clóis		1. (noun) claustrophobia	masculine topic-phobias
uamhan sráide		1. (noun) agoraphobia	masculine topic-phobias
uamsa		1. (pron) Ulster form of uaimse: first-person singular emphatic of ó	alt-of ulster
uan		1. (noun) lamb<br />EXAMPLE: Luigh leis an uan, agus éirigh leis an éan.: Lie with the lamb, and rise with the bird.<br />2. (noun) froth, foam	masculine
uarach		1. (noun) restraining yoke between plough-horses	feminine
uas-		1. (prefix) top, maximum, upper	morpheme
uas-scairde		1. (adj) overshot (of a waterwheel)	
uasail		1. (adj) inflection of uasal:<br />2. (adj) vocative/genitive singular masculine<br />3. (adj) dative singular feminine<br />4. (noun) vocative/genitive singular of uasal	archaic dative feminine form-of singular
uasal		1. (adj) noble, high-born, aristocratic; gentle, gentlemanly, gallant, genteel, lofty<br />2. (adj) noble, precious, fine<br />3. (adj) sacred to the dead; hallowed; enchanted, inhabited by fairies (of place)<br />4. (noun) nobleman, gentleman, aristocrat<br />5. (noun) lord	masculine
uasalathair		1. (noun) patriarch	masculine topic-people
uasfhásmhar		1. (adj) fastigiate	topic-botany topic-horticulture
uasghrádaigh		1. (verb) to upgrade	
uasghrádaithe		1. (noun) genitive singular of uasghrádú<br />2. (verb) past participle of uasghrádaigh	form-of genitive participle past singular
uasghráduithe		1. (noun) plural of uasghrádú	form-of masculine plural
uasghrádú		1. (noun) verbal noun of uasghrádaigh (“upgrade”)<br />2. (noun) upgrade	form-of masculine noun-from-verb
uaslódáil		1. (verb) to upload	topic-computing
uath		1. (noun) horrible thing, horror<br />2. (noun) whitethorn, Crataegus monogyna<br />3. (noun) name of the Ogham letter ᚆ (h)<br />4. (noun) alternative form of fuath (“form, shape; phantom, spectre”)<br />5. (noun) alternative form of fuath (“hate, hatred”)<br />6. (adj) alternative form of uafar (“dreadful, horrible”)	alt-of alternative literary masculine
uath-		1. (prefix) auto-, mono-<br />2. (prefix) spontaneous	morpheme
uath-amadóir		1. (noun) autotimer (automatic timer)	masculine
